day_index,hub_name,room_demand,room_capacity,contributing_routes,capacity_source_type,utilization,overloaded_rooms,resource_status
1,库尔勒市,906.6296,3718.3,Q4V2_R008;Q4V2_R011;Q4V2_R029;Q4V2_R030,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.2438,0.0,green
1,塔什库尔干县(帕米尔高原),192.963,958.93,Q4V2_R024;Q4V2_R063,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.2012,0.0,green
1,乌鲁木齐市,1985.9259,11742.0,Q4V2_R005;Q4V2_R006;Q4V2_R015;Q4V2_R018;Q4V2_R043;Q4V2_R045;Q4V2_R046;Q4V2_R048,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.1691,0.0,green
1,吐鲁番市,464.4444,4109.7,Q4V2_R051;Q4V2_R053,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.113,0.0,green
1,喀什市,389.2593,5088.2,Q4V2_R039;Q4V2_R041,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.0765,0.0,green
2,那拉提镇,430.4074,1516.675,Q4V2_R008;Q4V2_R011,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.2838,0.0,green
2,塔什库尔干县(帕米尔高原),192.963,958.93,Q4V2_R024;Q4V2_R063,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.2012,0.0,green
2,吐鲁番市,741.3704,4109.7,Q4V2_R018;Q4V2_R051;Q4V2_R053,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.1804,0.0,green
2,乌鲁木齐市,1709.0,11742.0,Q4V2_R005;Q4V2_R006;Q4V2_R015;Q4V2_R043;Q4V2_R045;Q4V2_R046;Q4V2_R048,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.1455,0.0,green
2,库尔勒市,476.2222,3718.3,Q4V2_R029;Q4V2_R030,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.1281,0.0,green
2,喀什市,389.2593,5088.2,Q4V2_R039;Q4V2_R041,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.0765,0.0,green
3,塔什库尔干县(帕米尔高原),383.6296,958.93,Q4V2_R024;Q4V2_R041;Q4V2_R063,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.4001,0.0,green
3,吐鲁番市,1226.0,4109.7,Q4V2_R006;Q4V2_R018;Q4V2_R046;Q4V2_R051;Q4V2_R053,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.2983,0.0,green
3,乌鲁木齐市,1224.3704,11742.0,Q4V2_R005;Q4V2_R015;Q4V2_R043;Q4V2_R045;Q4V2_R048,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.1043,0.0,green
3,伊宁市(伊犁),430.4074,4207.55,Q4V2_R008;Q4V2_R011,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.1023,0.0,green
3,库车市,227.7778,2250.55,Q4V2_R029,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.1012,0.0,green
3,和田市,198.5926,2739.8,Q4V2_R039,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.0725,0.0,green
3,库尔勒市,248.4444,3718.3,Q4V2_R030,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.0668,0.0,green
4,吐鲁番市,1997.8148,4109.7,Q4V2_R006;Q4V2_R015;Q4V2_R018;Q4V2_R043;Q4V2_R045;Q4V2_R046;Q4V2_R051;Q4V2_R053,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.4861,0.0,green
4,库车市,476.2222,2250.55,Q4V2_R029;Q4V2_R030,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.2116,0.0,green
4,塔什库尔干县(帕米尔高原),190.6667,958.93,Q4V2_R041,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.1988,0.0,green
4,伊宁市(伊犁),430.4074,4207.55,Q4V2_R008;Q4V2_R011,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.1023,0.0,green
4,和田市,198.5926,2739.8,Q4V2_R039,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.0725,0.0,green
4,乌鲁木齐市,452.5556,11742.0,Q4V2_R005;Q4V2_R048,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.0385,0.0,green
4,喀什市,192.963,5088.2,Q4V2_R024;Q4V2_R063,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.0379,0.0,green
5,吐鲁番市,2272.6667,4109.7,Q4V2_R005;Q4V2_R015;Q4V2_R018;Q4V2_R043;Q4V2_R045;Q4V2_R046;Q4V2_R048;Q4V2_R051;Q4V2_R053,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.553,0.0,green
5,和田市,389.2593,2739.8,Q4V2_R039;Q4V2_R041,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.1421,0.0,green
5,库车市,248.4444,2250.55,Q4V2_R030,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.1104,0.0,green
5,伊宁市(伊犁),430.4074,4207.55,Q4V2_R008;Q4V2_R011,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.1023,0.0,green
5,阿勒泰市,177.7037,2152.7,Q4V2_R006,simulated_limited_lodging|q4_operational_room_pool_calibrated,0.0825,0.0,green
5,库尔勒市,227.7778,3718.3,Q4V2_R029,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.0613,0.0,green
5,喀什市,192.963,5088.2,Q4V2_R024;Q4V2_R063,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.0379,0.0,green
6,吐鲁番市,1827.4815,4109.7,Q4V2_R015;Q4V2_R018;Q4V2_R043;Q4V2_R045;Q4V2_R046;Q4V2_R048;Q4V2_R051,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.4447,0.0,green
6,库尔勒市,618.5926,3718.3,Q4V2_R005;Q4V2_R029;Q4V2_R039,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.1664,0.0,green
6,库车市,248.4444,2250.55,Q4V2_R030,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.1104,0.0,green
6,伊宁市(伊犁),430.4074,4207.55,Q4V2_R008;Q4V2_R011,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.1023,0.0,green
6,阿勒泰市,177.7037,2152.7,Q4V2_R006,simulated_limited_lodging|q4_operational_room_pool_calibrated,0.0825,0.0,green
6,和田市,190.6667,2739.8,Q4V2_R041,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.0696,0.0,green
6,喀什市,192.963,5088.2,Q4V2_R024;Q4V2_R063,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.0379,0.0,green
6,乌鲁木齐市,252.963,11742.0,Q4V2_R053,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.0215,0.0,green
7,吐鲁番市,1719.1481,4109.7,Q4V2_R015;Q4V2_R018;Q4V2_R039;Q4V2_R043;Q4V2_R045;Q4V2_R048;Q4V2_R051,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.4183,0.0,green
7,伊宁市(伊犁),911.1481,4207.55,Q4V2_R008;Q4V2_R011;Q4V2_R029;Q4V2_R053,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.2166,0.0,green
7,阿勒泰市,369.9259,2152.7,Q4V2_R005;Q4V2_R006,simulated_limited_lodging|q4_operational_room_pool_calibrated,0.1718,0.0,green
7,库尔勒市,616.4815,3718.3,Q4V2_R041;Q4V2_R046;Q4V2_R063,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.1658,0.0,green
