audit_id,module,claim,status,evidence_file,remaining_limitation
Q4-A1,problem_definition,第四问定位为五一12天线路产品容量接待与预约分流问题,implemented,README.md,题面原文仍需在论文中精确引用
Q4-A2,input_capacity,已整理capacity_by_spot作为景区容量输入,partial,01_输入数据/enhanced_data/capacity_by_spot.csv,部分容量为规则模拟并非官方公告
Q4-A3,macro_demand,五一宏观客流使用公开来源校准,partial,01_输入数据/enhanced_data/source_registry.csv,线路级客流分布仍为模型化估计
Q4-A4,route_columns,已构造9条五一线路产品列,implemented,03_线路产品容量流主模型/enhanced_model_outputs/problem4_route_columns.csv,线路列为模板/规则生成不是列生成最优列
Q4-A5,capacity_flow,已完成线路容量流基准分配,implemented,03_线路产品容量流主模型/enhanced_model_outputs/problem4_capacity_flow.csv,未纳入酒店/车辆/导游等多资源联动容量
Q4-A6,demand_stress,已做0.8到1.35需求倍率压力测试,implemented,04_需求冲击与动态分流/humanized_scenario_outputs/q4_demand_stress.csv,客流冲击为情景仿真不是历史拟合
Q4-A7,reallocation,已输出需求上浮后的替代线路分流方案,implemented,04_需求冲击与动态分流/adaptive_strategy_outputs/q4_reallocation_plan.csv,替代偏好基于区域相似和吸引力代理
Q4-A8,reservation_policy,已比较全量放票/95%/90%预约上限策略,implemented,05_预约上限与鲁棒策略/policy_simulation_outputs/q4_reservation_policy_summary.csv,仍是总量预约上限不是小时级预约槽
Q4-A9,digital_twin,已在多情景下仿真容量预约策略,implemented,05_预约上限与鲁棒策略/digital_twin_outputs/q4_capacity_policy.csv,场景概率和扰动分布需真实节假日数据校准
Q4-A10,risk_policy,四类风险画像均选择分时预约+动态分流,implemented,05_预约上限与鲁棒策略/risk_policy_outputs/q4_policy_selection.csv,画像权重为模型设定不是问卷估计
Q4-A11,figures,已有需求分流和预约策略图,implemented,06_图表/visual_assets_outputs/figures,图表来自历史实验快照
Q4-A12,reproducibility,已归档生成脚本快照,partial,02_模型代码,脚本默认读根目录路径，尚未封装为Q4独立闭环
