plan_id,gateway_policy,generation_method,include_special,covered_spots,target_spots,coverage_complete,missing_spots,duplicate_spots_count,year1_entry_gateway,year1_exit_gateway,year2_entry_gateway,year2_exit_gateway,year1_spots,year2_spots,year1_days,year2_days,max_year_days,year_day_difference,year1_transport_cost,year2_transport_cost,total_intra_transport_cost,total_travel_hours,total_service_hours,red_days,long_transfer_edges,time_window_violations,schedule_soft_feasible,schedule_strict_feasible,year1_route_sequence,year2_route_sequence,year1_spot_id_sequence,year2_spot_id_sequence,year1_mode_hours_mix,year2_mode_hours_mix,proved_optimal,solver_status,cost_calibration_version,simulation_samples,operational_success_probability,strict_comfort_success_probability,expected_intra_transport_cost,p95_intra_transport_cost,expected_max_year_days,p95_max_year_days,expected_loss,cvar75_loss,cvar90_loss,break_even_external_premium,open_gateway_cheaper_probability,simulation_note
Q2V3_010_OPEN_GATEWAY,open_gateway,spectral_reference_not_final,False,38,38,True,,0,伊宁市(伊犁),阿勒泰市,和田市,喀什市,30,8,24,5,24,19,2191.08,665.72,2856.8,90.073,130.25,0,7,0,True,True,果子沟大桥 -> 赛里木湖 -> 霍城薰衣草花田 -> 喀拉峻大草原 -> 昭苏草原 -> 夏塔古道 -> 那拉提草原 -> 巴音布鲁克草原 -> 天山神秘大峡谷 -> 库车王府 -> 克孜尔石窟 -> 罗布人村寨 -> 博斯腾湖 -> 天山天池 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村 -> 达坂城古镇 -> 江布拉克草原 -> 北庭故城遗址 -> 可可托海 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 世界魔鬼城,和田博物馆 -> 千里葡萄长廊 -> 奥依塔克冰川 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 艾提尕尔清真寺 -> 喀什古城 -> 香妃园,P017 -> P008 -> P014 -> P010 -> P015 -> P016 -> P009 -> P033 -> P029 -> P030 -> P031 -> P034 -> P032 -> P001 -> P006 -> P005 -> P012 -> P004 -> P003 -> P011 -> P013 -> P002 -> P035 -> P036 -> P021 -> P022 -> P019 -> P018 -> P020 -> P023,P037 -> P039 -> P040 -> P028 -> P027 -> P025 -> P024 -> P026,"{""charter_car"": 6.468, ""gateway_access"": 1.1, ""rail"": 5.983, ""rental_car"": 48.164, ""scenic_shuttle"": 2.2, ""taxi_transfer"": 8.217}","{""charter_car"": 6.741, ""gateway_access"": 1.636, ""rental_car"": 7.314, ""taxi_transfer"": 2.25}",False,matheuristic_seed_2opt_relocate_swap,scenic_floor_base_v1 + road_mode_normalization_q1v3,500,0.98,0.97,3012.65,3448.16,25.858,29.0,299.159,775.525,1093.378,1170.91,0.488,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_073_OPEN_GATEWAY,open_gateway,random_region_restart,False,38,38,True,,0,阿勒泰市,吐鲁番市,和田市,伊宁市(伊犁),17,21,12,17,17,5,1012.71,2087.2,3099.91,95.925,130.25,0,7,0,True,True,世界魔鬼城 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 可可托海 -> 北庭故城遗址 -> 天山天池 -> 江布拉克草原 -> 达坂城古镇 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 葡萄沟 -> 苏公塔 -> 坎儿井民俗园 -> 交河故城,和田博物馆 -> 千里葡萄长廊 -> 奥依塔克冰川 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 艾提尕尔清真寺 -> 喀什古城 -> 香妃园 -> 库车王府 -> 克孜尔石窟 -> 天山神秘大峡谷 -> 罗布人村寨 -> 博斯腾湖 -> 巴音布鲁克草原 -> 那拉提草原 -> 夏塔古道 -> 昭苏草原 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖,P023 -> P022 -> P019 -> P018 -> P020 -> P021 -> P036 -> P001 -> P035 -> P002 -> P013 -> P011 -> P003 -> P004 -> P012 -> P005 -> P006,P037 -> P039 -> P040 -> P028 -> P027 -> P025 -> P024 -> P026 -> P030 -> P031 -> P029 -> P034 -> P032 -> P033 -> P009 -> P016 -> P015 -> P010 -> P014 -> P017 -> P008,"{""charter_car"": 7.05, ""gateway_access"": 1.302, ""rental_car"": 21.114, ""scenic_shuttle"": 0.6, ""taxi_transfer"": 3.106}","{""charter_car"": 26.832, ""gateway_access"": 1.649, ""rail"": 3.55, ""rental_car"": 25.004, ""scenic_shuttle"": 1.6, ""taxi_transfer"": 4.118}",False,matheuristic_seed_2opt_relocate_swap,scenic_floor_base_v1 + road_mode_normalization_q1v3,500,1.0,0.994,3270.79,3722.39,18.446,21.0,348.4,808.768,1055.894,927.8,0.342,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_085_OPEN_GATEWAY,open_gateway,random_region_restart,False,38,38,True,,0,喀什市,伊宁市(伊犁),库车市,阿勒泰市,16,22,15,16,16,1,1697.59,1503.82,3201.41,100.467,130.25,1,9,1,True,False,喀什古城 -> 艾提尕尔清真寺 -> 香妃园 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 奥依塔克冰川 -> 和田博物馆 -> 千里葡萄长廊 -> 巴音布鲁克草原 -> 那拉提草原 -> 夏塔古道 -> 昭苏草原 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖,库车王府 -> 克孜尔石窟 -> 天山神秘大峡谷 -> 博斯腾湖 -> 罗布人村寨 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 葡萄沟 -> 苏公塔 -> 坎儿井民俗园 -> 交河故城 -> 达坂城古镇 -> 江布拉克草原 -> 天山天池 -> 北庭故城遗址 -> 可可托海 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 世界魔鬼城,P024 -> P025 -> P026 -> P028 -> P027 -> P040 -> P037 -> P039 -> P033 -> P009 -> P016 -> P015 -> P010 -> P014 -> P017 -> P008,P030 -> P031 -> P029 -> P032 -> P034 -> P013 -> P011 -> P003 -> P004 -> P012 -> P005 -> P006 -> P002 -> P035 -> P001 -> P036 -> P021 -> P022 -> P019 -> P018 -> P020 -> P023,"{""charter_car"": 25.958, ""gateway_access"": 1.351, ""rental_car"": 23.325, ""scenic_shuttle"": 0.3, ""taxi_transfer"": 2.963}","{""charter_car"": 6.5, ""gateway_access"": 1.1, ""rail"": 3.55, ""rental_car"": 29.143, ""scenic_shuttle"": 1.9, ""taxi_transfer"": 4.377}",False,matheuristic_seed_2opt_relocate_swap,scenic_floor_base_v1 + road_mode_normalization_q1v3,500,0.998,0.0,3374.55,3858.3,17.32,20.0,544.86,1038.35,1294.097,826.3,0.238,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_069_OPEN_GATEWAY,open_gateway,random_region_restart,False,38,38,True,,0,那拉提镇,阿勒泰市,和田市,乌鲁木齐市,14,24,16,15,16,1,1618.96,1816.22,3435.18,101.879,130.25,0,8,0,True,True,巴音布鲁克草原 -> 那拉提草原 -> 夏塔古道 -> 昭苏草原 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 世界魔鬼城 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 可可托海,和田博物馆 -> 千里葡萄长廊 -> 奥依塔克冰川 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 艾提尕尔清真寺 -> 喀什古城 -> 香妃园 -> 库车王府 -> 克孜尔石窟 -> 天山神秘大峡谷 -> 博斯腾湖 -> 罗布人村寨 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 葡萄沟 -> 苏公塔 -> 坎儿井民俗园 -> 交河故城 -> 达坂城古镇 -> 北庭故城遗址 -> 江布拉克草原 -> 天山天池,P033 -> P009 -> P016 -> P015 -> P010 -> P014 -> P017 -> P008 -> P023 -> P022 -> P019 -> P018 -> P020 -> P021,P037 -> P039 -> P040 -> P028 -> P027 -> P025 -> P024 -> P026 -> P030 -> P031 -> P029 -> P032 -> P034 -> P013 -> P011 -> P003 -> P004 -> P012 -> P005 -> P006 -> P002 -> P036 -> P035 -> P001,"{""charter_car"": 13.548, ""gateway_access"": 8.784, ""rental_car"": 25.104, ""scenic_shuttle"": 0.9, ""taxi_transfer"": 1.455}","{""charter_car"": 20.313, ""gateway_access"": 1.935, ""rail"": 3.55, ""rental_car"": 17.887, ""scenic_shuttle"": 1.3, ""taxi_transfer"": 7.103}",False,matheuristic_seed_2opt_relocate_swap,scenic_floor_base_v1 + road_mode_normalization_q1v3,500,1.0,0.992,3635.01,4125.54,17.56,20.0,475.685,1001.585,1238.663,592.53,0.106,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_006_OPEN_GATEWAY,open_gateway,early_graph_baseline,False,38,38,True,,0,那拉提镇,乌鲁木齐市,乌鲁木齐市,和田市,15,23,15,15,15,0,1568.82,1938.68,3507.5,101.137,130.25,0,10,0,True,True,那拉提草原 -> 夏塔古道 -> 昭苏草原 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 世界魔鬼城 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 可可托海 -> 北庭故城遗址 -> 天山天池,达坂城古镇 -> 江布拉克草原 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 葡萄沟 -> 苏公塔 -> 坎儿井民俗园 -> 交河故城 -> 罗布人村寨 -> 博斯腾湖 -> 巴音布鲁克草原 -> 天山神秘大峡谷 -> 库车王府 -> 克孜尔石窟 -> 香妃园 -> 艾提尕尔清真寺 -> 喀什古城 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 奥依塔克冰川 -> 和田博物馆 -> 千里葡萄长廊,P009 -> P016 -> P015 -> P010 -> P014 -> P017 -> P008 -> P023 -> P022 -> P019 -> P018 -> P020 -> P021 -> P036 -> P001,P002 -> P035 -> P013 -> P011 -> P003 -> P004 -> P012 -> P005 -> P006 -> P034 -> P032 -> P033 -> P029 -> P030 -> P031 -> P026 -> P025 -> P024 -> P028 -> P027 -> P040 -> P037 -> P039,"{""charter_car"": 13.548, ""gateway_access"": 1.586, ""rental_car"": 29.82, ""scenic_shuttle"": 0.9, ""taxi_transfer"": 1.455}","{""charter_car"": 20.752, ""gateway_access"": 1.883, ""rail"": 2.433, ""rental_car"": 20.335, ""scenic_shuttle"": 1.3, ""taxi_transfer"": 7.125}",False,matheuristic_seed_2opt_relocate_swap,scenic_floor_base_v1 + road_mode_normalization_q1v3,500,0.996,0.976,3706.0,4246.2,16.384,19.0,519.836,1037.698,1285.881,520.21,0.068,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_002_OPEN_GATEWAY,open_gateway,amap_selfdrive_baseline,False,38,38,True,,0,那拉提镇,乌鲁木齐市,乌鲁木齐市,和田市,15,23,15,15,15,0,1568.82,1940.41,3509.23,101.942,130.25,0,10,0,True,True,那拉提草原 -> 夏塔古道 -> 昭苏草原 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 世界魔鬼城 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 可可托海 -> 北庭故城遗址 -> 天山天池,达坂城古镇 -> 江布拉克草原 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村 -> 罗布人村寨 -> 博斯腾湖 -> 巴音布鲁克草原 -> 天山神秘大峡谷 -> 库车王府 -> 克孜尔石窟 -> 香妃园 -> 艾提尕尔清真寺 -> 喀什古城 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 奥依塔克冰川 -> 和田博物馆 -> 千里葡萄长廊,P009 -> P016 -> P015 -> P010 -> P014 -> P017 -> P008 -> P023 -> P022 -> P019 -> P018 -> P020 -> P021 -> P036 -> P001,P002 -> P035 -> P006 -> P005 -> P012 -> P004 -> P003 -> P011 -> P013 -> P034 -> P032 -> P033 -> P029 -> P030 -> P031 -> P026 -> P025 -> P024 -> P028 -> P027 -> P040 -> P037 -> P039,"{""charter_car"": 13.548, ""gateway_access"": 1.586, ""rental_car"": 29.82, ""scenic_shuttle"": 0.9, ""taxi_transfer"": 1.455}","{""charter_car"": 27.252, ""gateway_access"": 1.883, ""rail"": 2.433, ""rental_car"": 14.535, ""scenic_shuttle"": 1.3, ""taxi_transfer"": 7.23}",False,matheuristic_seed_2opt_relocate_swap,scenic_floor_base_v1 + road_mode_normalization_q1v3,500,1.0,0.988,3704.91,4216.8,16.394,19.0,538.434,1052.386,1279.114,518.48,0.092,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_012_OPEN_GATEWAY,open_gateway,region_aware_cost_seed,False,38,38,True,,0,那拉提镇,乌鲁木齐市,乌鲁木齐市,和田市,15,23,15,15,15,0,1568.82,1955.51,3524.33,101.785,130.25,0,10,0,True,True,那拉提草原 -> 夏塔古道 -> 昭苏草原 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 世界魔鬼城 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 可可托海 -> 北庭故城遗址 -> 天山天池,达坂城古镇 -> 江布拉克草原 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村 -> 罗布人村寨 -> 博斯腾湖 -> 巴音布鲁克草原 -> 天山神秘大峡谷 -> 克孜尔石窟 -> 库车王府 -> 艾提尕尔清真寺 -> 喀什古城 -> 香妃园 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 奥依塔克冰川 -> 和田博物馆 -> 千里葡萄长廊,P009 -> P016 -> P015 -> P010 -> P014 -> P017 -> P008 -> P023 -> P022 -> P019 -> P018 -> P020 -> P021 -> P036 -> P001,P002 -> P035 -> P006 -> P005 -> P012 -> P004 -> P003 -> P011 -> P013 -> P034 -> P032 -> P033 -> P029 -> P031 -> P030 -> P025 -> P024 -> P026 -> P028 -> P027 -> P040 -> P037 -> P039,"{""charter_car"": 13.548, ""gateway_access"": 1.586, ""rental_car"": 29.82, ""scenic_shuttle"": 0.9, ""taxi_transfer"": 1.455}","{""charter_car"": 26.938, ""gateway_access"": 1.883, ""rail"": 2.433, ""rental_car"": 14.535, ""scenic_shuttle"": 1.3, ""taxi_transfer"": 7.387}",False,matheuristic_seed_2opt_relocate_swap,scenic_floor_base_v1 + road_mode_normalization_q1v3,500,1.0,0.99,3741.37,4252.97,16.392,18.0,521.8,1045.268,1272.319,503.38,0.078,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_072_ROOTED_URUMQI,rooted_urumqi,random_region_restart,False,38,38,True,,0,乌鲁木齐市,乌鲁木齐市,乌鲁木齐市,乌鲁木齐市,17,21,12,19,19,7,1275.25,2752.46,4027.71,111.301,130.25,1,12,0,True,True,达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村 -> 江布拉克草原 -> 北庭故城遗址 -> 可可托海 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 世界魔鬼城 -> 天山天池,赛里木湖 -> 果子沟大桥 -> 霍城薰衣草花田 -> 喀拉峻大草原 -> 昭苏草原 -> 夏塔古道 -> 那拉提草原 -> 巴音布鲁克草原 -> 天山神秘大峡谷 -> 克孜尔石窟 -> 香妃园 -> 艾提尕尔清真寺 -> 喀什古城 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 奥依塔克冰川 -> 和田博物馆 -> 千里葡萄长廊 -> 库车王府 -> 罗布人村寨 -> 博斯腾湖,P002 -> P006 -> P005 -> P012 -> P004 -> P003 -> P011 -> P013 -> P035 -> P036 -> P021 -> P022 -> P019 -> P018 -> P020 -> P023 -> P001,P008 -> P017 -> P014 -> P010 -> P015 -> P016 -> P009 -> P033 -> P029 -> P031 -> P026 -> P025 -> P024 -> P028 -> P027 -> P040 -> P037 -> P039 -> P030 -> P034 -> P032,"{""gateway_access"": 2.369, ""rental_car"": 25.325, ""scenic_shuttle"": 0.6, ""taxi_transfer"": 5.898}","{""charter_car"": 29.161, ""gateway_access"": 10.871, ""rail"": 3.55, ""rental_car"": 28.125, ""scenic_shuttle"": 1.6, ""taxi_transfer"": 3.802}",False,matheuristic_seed_2opt_relocate_swap,scenic_floor_base_v1 + road_mode_normalization_q1v3,500,1.0,0.934,4270.81,4857.68,20.602,23.0,366.264,652.39,791.307,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_054_ROOTED_URUMQI,rooted_urumqi,random_region_restart,False,38,38,True,,0,乌鲁木齐市,乌鲁木齐市,乌鲁木齐市,乌鲁木齐市,15,23,12,20,20,8,1251.43,2924.58,4176.01,117.237,130.25,1,12,0,True,True,天山天池 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 坎儿井民俗园 -> 交河故城 -> 达坂城古镇 -> 江布拉克草原 -> 北庭故城遗址 -> 可可托海 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 世界魔鬼城,葡萄沟 -> 苏公塔 -> 博斯腾湖 -> 罗布人村寨 -> 克孜尔石窟 -> 香妃园 -> 艾提尕尔清真寺 -> 喀什古城 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 奥依塔克冰川 -> 和田博物馆 -> 千里葡萄长廊 -> 库车王府 -> 天山神秘大峡谷 -> 巴音布鲁克草原 -> 那拉提草原 -> 夏塔古道 -> 昭苏草原 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖,P001 -> P013 -> P011 -> P003 -> P005 -> P006 -> P002 -> P035 -> P036 -> P021 -> P022 -> P019 -> P018 -> P020 -> P023,P004 -> P012 -> P032 -> P034 -> P031 -> P026 -> P025 -> P024 -> P028 -> P027 -> P040 -> P037 -> P039 -> P030 -> P029 -> P033 -> P009 -> P016 -> P015 -> P010 -> P014 -> P017 -> P008,"{""gateway_access"": 5.828, ""rail"": 2.433, ""rental_car"": 22.52, ""scenic_shuttle"": 0.6, ""taxi_transfer"": 3.933}","{""charter_car"": 35.582, ""gateway_access"": 8.298, ""rental_car"": 31.929, ""scenic_shuttle"": 1.6, ""taxi_transfer"": 4.514}",False,matheuristic_seed_2opt_relocate_swap,scenic_floor_base_v1 + road_mode_normalization_q1v3,500,1.0,0.936,4425.26,5047.65,21.648,25.0,355.542,641.46,781.68,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_011_ROOTED_URUMQI,rooted_urumqi,region_aware_cost_seed,False,38,38,True,,0,乌鲁木齐市,乌鲁木齐市,乌鲁木齐市,乌鲁木齐市,16,22,17,16,17,1,1810.15,2417.79,4227.94,119.393,130.25,1,13,0,True,True,巴音布鲁克草原 -> 那拉提草原 -> 夏塔古道 -> 昭苏草原 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 世界魔鬼城 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 可可托海 -> 北庭故城遗址 -> 天山天池,达坂城古镇 -> 江布拉克草原 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 葡萄沟 -> 苏公塔 -> 坎儿井民俗园 -> 交河故城 -> 罗布人村寨 -> 克孜尔石窟 -> 香妃园 -> 艾提尕尔清真寺 -> 喀什古城 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 奥依塔克冰川 -> 和田博物馆 -> 千里葡萄长廊 -> 库车王府 -> 天山神秘大峡谷 -> 博斯腾湖,P033 -> P009 -> P016 -> P015 -> P010 -> P014 -> P017 -> P008 -> P023 -> P022 -> P019 -> P018 -> P020 -> P021 -> P036 -> P001,P002 -> P035 -> P013 -> P011 -> P003 -> P004 -> P012 -> P005 -> P006 -> P034 -> P031 -> P026 -> P025 -> P024 -> P028 -> P027 -> P040 -> P037 -> P039 -> P030 -> P029 -> P032,"{""charter_car"": 13.548, ""gateway_access"": 7.129, ""rental_car"": 32.094, ""scenic_shuttle"": 0.9, ""taxi_transfer"": 1.455}","{""charter_car"": 29.084, ""gateway_access"": 6.372, ""rail"": 5.983, ""rental_car"": 16.958, ""taxi_transfer"": 5.87}",False,matheuristic_seed_2opt_relocate_swap,scenic_floor_base_v1 + road_mode_normalization_q1v3,500,1.0,0.942,4471.02,5099.67,18.48,21.0,366.156,682.654,828.688,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
