route_id,day,start_time,end_time,visit_spots_count,visit_spots,day_travel_hours,day_wait_hours,day_service_hours,day_active_hours,active_budget_status,over_budget_hours,transport_cost_yuan_per_two,ticket_cost_yuan_per_two,risk_score,lodging_hub,lodging_status,room_price_yuan,time_window_violations,notes
PCOP_ALNS,1,08:30,14:42,1,江布拉克草原,2.69,0.0,3.5,6.19,ok,0.0,126.68,86.0,0.117,乌鲁木齐市,standard_hotel_hub,150.0,0,
PCOP_ALNS,2,08:30,11:17,1,北庭故城遗址,1.28,0.0,1.5,2.78,ok,0.0,38.52,76.0,0.063,乌鲁木齐市,standard_hotel_hub,150.0,0,
PCOP_ALNS,3,08:30,14:48,1,天山天池,1.3,0.0,5.0,6.3,ok,0.0,61.25,310.0,0.077,天池风景区,standard_hotel_hub,280.0,0,
PCOP_ALNS,4,08:30,13:08,1,达坂城古镇,2.13,0.0,2.5,4.63,ok,0.0,93.7,80.0,0.097,达坂城镇,limited_or_simulated_lodging,260.0,0,
PCOP_ALNS,5,08:30,15:42,2,吐峪沟麻扎村 -> 高昌故城,2.2,0.0,5.0,7.2,ok,0.0,95.44,200.0,0.138,吐鲁番市,standard_hotel_hub,180.0,0,
PCOP_ALNS,6,08:30,15:03,2,火焰山 -> 葡萄沟,1.05,0.0,5.5,6.55,ok,0.0,25.28,200.0,0.095,吐鲁番市,standard_hotel_hub,180.0,0,
PCOP_ALNS,7,08:30,14:14,3,苏公塔 -> 坎儿井民俗园 -> 交河故城,0.78,0.2,4.75,5.73,ok,0.0,12.41,230.0,0.128,吐鲁番市,standard_hotel_hub,180.0,0,
PCOP_ALNS,8,08:30,14:18,0,,5.8,0.0,0.0,5.8,ok,0.0,233.5,0.0,0.16,库尔勒市,standard_hotel_hub,150.0,0,跨区长距离转移；到达后次日游览目标景区
PCOP_ALNS,9,08:30,16:18,2,罗布人村寨 -> 博斯腾湖,1.3,0.5,6.0,7.8,ok,0.0,30.0,160.0,0.08,库尔勒市,standard_hotel_hub,150.0,0,
PCOP_ALNS,10,08:30,14:27,1,库车王府,4.45,0.0,1.5,5.95,ok,0.0,157.0,80.0,0.16,库车市,standard_hotel_hub,170.0,0,
PCOP_ALNS,11,08:30,12:16,1,克孜尔石窟,1.27,0.0,2.5,3.77,ok,0.0,35.86,140.0,0.062,库车市,standard_hotel_hub,170.0,0,
PCOP_ALNS,12,08:30,13:31,1,天山神秘大峡谷,1.52,0.0,3.5,5.02,ok,0.0,46.5,80.0,0.068,库车市,standard_hotel_hub,170.0,0,
PCOP_ALNS,13,08:30,17:56,1,巴音布鲁克草原,3.43,0.0,6.0,9.43,over_budget,1.43,106.3,280.0,0.104,巴音布鲁克,standard_hotel_hub,230.0,0,当天活动超过8小时预算
PCOP_ALNS,14,08:30,16:46,1,那拉提草原,2.27,0.0,6.0,8.27,over_budget,0.27,51.5,270.0,0.071,那拉提镇,standard_hotel_hub,200.0,0,当天活动超过8小时预算
PCOP_ALNS,15,08:30,15:37,0,,7.12,0.0,0.0,7.12,ok,0.0,170.87,0.0,0.144,昭苏县(夏塔古道),standard_hotel_hub,210.0,0,跨区长距离转移；到达后次日游览目标景区
PCOP_ALNS,16,08:30,12:00,1,昭苏草原,0.0,0.0,3.5,3.5,ok,0.0,0.0,0.0,0.0,昭苏县(夏塔古道),standard_hotel_hub,210.0,0,
PCOP_ALNS,17,08:30,17:13,1,夏塔古道,3.72,0.0,5.0,8.72,over_budget,0.72,66.06,160.0,0.08,昭苏县(夏塔古道),standard_hotel_hub,210.0,0,当天活动超过8小时预算
PCOP_ALNS,18,08:30,17:52,1,喀拉峻大草原,3.37,0.0,6.0,9.37,over_budget,1.37,104.4,280.0,0.103,特克斯县(八卦城),standard_hotel_hub,190.0,0,当天活动超过8小时预算
PCOP_ALNS,19,08:30,14:27,1,霍城薰衣草花田,3.45,0.0,2.5,5.95,ok,0.0,131.38,70.0,0.12,霍城县(惠远古城),limited_or_simulated_lodging,260.0,0,
PCOP_ALNS,20,08:30,10:36,1,果子沟大桥,0.6,0.0,1.5,2.1,ok,0.0,19.1,0.0,0.052,赛里木湖,standard_hotel_hub,260.0,0,
PCOP_ALNS,21,08:30,14:48,1,赛里木湖,0.3,0.0,6.0,6.3,ok,0.0,30.0,290.0,0.08,赛里木湖,standard_hotel_hub,260.0,0,
PCOP_ALNS,22,08:30,14:16,0,,5.76,0.0,0.0,5.76,ok,0.0,304.13,0.0,0.224,阿勒泰市,limited_or_simulated_lodging,260.0,0,跨区长距离转移；到达后次日游览目标景区
PCOP_ALNS,23,08:30,12:30,1,世界魔鬼城,0.0,1.5,2.5,4.0,ok,0.0,0.0,124.0,0.0,阿勒泰市,limited_or_simulated_lodging,260.0,0,
PCOP_ALNS,24,08:30,14:10,1,五彩滩,3.17,0.0,2.5,5.67,ok,0.0,132.03,90.0,0.12,禾木村,standard_hotel_hub,350.0,0,
