spot_id,spot_name,tag_silk_road,tag_religion,tag_ethnic_folk,tag_archaeology,tag_world_or_key_heritage,tag_natural,culture_value_score,tag_source_ids
P001,天山天池,False,False,False,False,False,True,2,SOURCE_FROM_LOCAL_SPOT_REMARKS
P002,达坂城古镇,False,False,False,False,True,False,4,SOURCE_FROM_LOCAL_SPOT_REMARKS
P003,火焰山,False,False,False,False,False,True,2,SOURCE_FROM_LOCAL_SPOT_REMARKS
P004,葡萄沟,False,False,False,False,False,False,1,SOURCE_FROM_LOCAL_SPOT_REMARKS
P005,坎儿井民俗园,False,False,False,False,True,False,4,SOURCE_FROM_LOCAL_SPOT_REMARKS
P006,交河故城,True,False,False,True,True,False,8,SRC_TURPAN_HERITAGE;SRC_XJ_CULTURE_OVERVIEW
P007,楼兰古城,True,False,False,True,True,False,10,SOURCE_FROM_LOCAL_SPOT_REMARKS
P008,赛里木湖,False,False,False,False,False,True,2,SOURCE_FROM_LOCAL_SPOT_REMARKS
P009,那拉提草原,False,False,False,False,False,True,2,SOURCE_FROM_LOCAL_SPOT_REMARKS
P010,喀拉峻大草原,False,False,False,False,False,True,2,SOURCE_FROM_LOCAL_SPOT_REMARKS
P011,高昌故城,True,False,False,True,True,False,8,SRC_TURPAN_HERITAGE;SRC_XJ_CULTURE_OVERVIEW
P012,苏公塔,True,True,False,False,True,False,8,SOURCE_FROM_LOCAL_SPOT_REMARKS
P013,吐峪沟麻扎村,True,True,True,False,True,True,10,SOURCE_FROM_LOCAL_SPOT_REMARKS
P014,霍城薰衣草花田,False,False,True,False,False,True,3,SOURCE_FROM_LOCAL_SPOT_REMARKS
P015,昭苏草原,False,False,False,False,False,True,2,SOURCE_FROM_LOCAL_SPOT_REMARKS
P016,夏塔古道,False,False,False,False,False,False,1,SOURCE_FROM_LOCAL_SPOT_REMARKS
P017,果子沟大桥,False,False,False,False,False,True,2,SOURCE_FROM_LOCAL_SPOT_REMARKS
P018,喀纳斯湖,False,False,False,False,False,True,2,SOURCE_FROM_LOCAL_SPOT_REMARKS
P019,禾木村,False,False,False,False,False,False,1,SOURCE_FROM_LOCAL_SPOT_REMARKS
P020,白哈巴村,False,False,False,False,False,False,1,SOURCE_FROM_LOCAL_SPOT_REMARKS
P021,可可托海,False,False,False,False,False,True,2,SOURCE_FROM_LOCAL_SPOT_REMARKS
P022,五彩滩,False,False,False,False,False,True,2,SOURCE_FROM_LOCAL_SPOT_REMARKS
P023,世界魔鬼城,False,False,False,False,False,False,1,SOURCE_FROM_LOCAL_SPOT_REMARKS
P024,喀什古城,False,False,True,True,True,False,7,SOURCE_FROM_LOCAL_SPOT_REMARKS
P025,艾提尕尔清真寺,False,True,True,False,True,False,7,SRC_KASHI_IDKAH
P026,香妃园,False,True,True,False,True,False,7,SOURCE_FROM_LOCAL_SPOT_REMARKS
P027,帕米尔高原白沙湖,False,False,False,False,False,True,2,SOURCE_FROM_LOCAL_SPOT_REMARKS
P028,石头城遗址,False,False,False,True,True,False,6,SOURCE_FROM_LOCAL_SPOT_REMARKS
P029,天山神秘大峡谷,False,False,False,False,False,True,2,SOURCE_FROM_LOCAL_SPOT_REMARKS
P030,库车王府,True,False,False,False,True,False,6,SOURCE_FROM_LOCAL_SPOT_REMARKS
P031,克孜尔石窟,True,True,False,True,True,False,10,SRC_XJ_CULTURE_OVERVIEW;SRC_KIZIL_REGULATION
P032,博斯腾湖,False,False,False,False,False,True,2,SOURCE_FROM_LOCAL_SPOT_REMARKS
P033,巴音布鲁克草原,False,False,False,False,False,True,2,SOURCE_FROM_LOCAL_SPOT_REMARKS
P034,罗布人村寨,False,False,True,False,True,True,6,SOURCE_FROM_LOCAL_SPOT_REMARKS
P035,江布拉克草原,False,False,False,False,False,True,2,SOURCE_FROM_LOCAL_SPOT_REMARKS
P036,北庭故城遗址,True,False,False,True,True,False,8,SRC_XJ_CULTURE_OVERVIEW
P037,和田博物馆,False,False,False,False,True,False,4,SOURCE_FROM_LOCAL_SPOT_REMARKS
P038,尼雅遗址,True,False,False,True,True,False,10,SOURCE_FROM_LOCAL_SPOT_REMARKS
P039,千里葡萄长廊,False,False,True,False,False,False,2,SOURCE_FROM_LOCAL_SPOT_REMARKS
P040,奥依塔克冰川,False,False,False,False,False,True,2,SOURCE_FROM_LOCAL_SPOT_REMARKS
