constraint_family,constraint_id,day_index,location,resource_or_slot,load,capacity,utilization,overload,shadow_price_index,interpretation
spot_timeslot_capacity,D11_P013_morning,11,吐峪沟麻扎村,morning,2534.0,2394.0,1.0585,140.0,70.68,增加一个分时预约容量单位对拥挤罚项的边际缓解强度
vehicle_guide_shuttle_capacity,D3_达坂城镇_coach_bus,3,达坂城镇,coach_bus,53.3797,141.9111,0.3761,0.0,50.0,增加车辆/导游/摆渡资源对系统服务损失的边际缓解强度
vehicle_guide_shuttle_capacity,D3_达坂城镇_licensed_guide,3,达坂城镇,licensed_guide,66.2369,199.5625,0.3319,0.0,50.0,增加车辆/导游/摆渡资源对系统服务损失的边际缓解强度
vehicle_guide_shuttle_capacity,D3_达坂城镇_scenic_shuttle_or_parking,3,达坂城镇,scenic_shuttle_or_parking,40.8822,127.72,0.3201,0.0,50.0,增加车辆/导游/摆渡资源对系统服务损失的边际缓解强度
vehicle_guide_shuttle_capacity,D2_达坂城镇_coach_bus,2,达坂城镇,coach_bus,33.8947,141.9111,0.2388,0.0,50.0,增加车辆/导游/摆渡资源对系统服务损失的边际缓解强度
vehicle_guide_shuttle_capacity,D2_达坂城镇_licensed_guide,2,达坂城镇,licensed_guide,46.0,199.5625,0.2305,0.0,50.0,增加车辆/导游/摆渡资源对系统服务损失的边际缓解强度
vehicle_guide_shuttle_capacity,D2_达坂城镇_scenic_shuttle_or_parking,2,达坂城镇,scenic_shuttle_or_parking,28.6222,127.72,0.2241,0.0,50.0,增加车辆/导游/摆渡资源对系统服务损失的边际缓解强度
vehicle_guide_shuttle_capacity,D1_达坂城镇_coach_bus,1,达坂城镇,coach_bus,30.6535,141.9111,0.216,0.0,50.0,增加车辆/导游/摆渡资源对系统服务损失的边际缓解强度
vehicle_guide_shuttle_capacity,D1_达坂城镇_licensed_guide,1,达坂城镇,licensed_guide,41.6012,199.5625,0.2085,0.0,50.0,增加车辆/导游/摆渡资源对系统服务损失的边际缓解强度
vehicle_guide_shuttle_capacity,D1_天池风景区_coach_bus,1,天池风景区,coach_bus,86.9342,423.4444,0.2053,0.0,50.0,增加车辆/导游/摆渡资源对系统服务损失的边际缓解强度
