from_hub_name,to_hub_name,shortest_time_hours,shortest_distance_km,path_hubs,path_edges
乌鲁木齐市,乌鲁木齐市,0.0,0.0,乌鲁木齐市,
乌鲁木齐市,吐鲁番市,2.5,180.0,乌鲁木齐市 -> 吐鲁番市,E001
乌鲁木齐市,达坂城镇,1.5,100.0,乌鲁木齐市 -> 达坂城镇,E003
乌鲁木齐市,伊宁市(伊犁),7.0,690.0,乌鲁木齐市 -> 伊宁市(伊犁),E005
乌鲁木齐市,喀什市,18.0,1465.0,乌鲁木齐市 -> 喀什市,E007
乌鲁木齐市,阿勒泰市,6.0,500.0,乌鲁木齐市 -> 阿勒泰市,E009
乌鲁木齐市,库尔勒市,6.0,471.0,乌鲁木齐市 -> 库尔勒市,E011
乌鲁木齐市,若羌县(楼兰),12.0,941.0,乌鲁木齐市 -> 库尔勒市 -> 若羌县(楼兰),E011 -> E015
乌鲁木齐市,那拉提镇,10.0,940.0,乌鲁木齐市 -> 伊宁市(伊犁) -> 那拉提镇,E005 -> E017
乌鲁木齐市,赛里木湖,9.0,840.0,乌鲁木齐市 -> 伊宁市(伊犁) -> 赛里木湖,E005 -> E019
乌鲁木齐市,天池风景区,1.5,95.0,乌鲁木齐市 -> 天池风景区,E021
乌鲁木齐市,可可托海,6.5,530.0,乌鲁木齐市 -> 可可托海,E023
乌鲁木齐市,禾木村,7.5,620.0,乌鲁木齐市 -> 禾木村,E025
乌鲁木齐市,白哈巴,8.5,680.0,乌鲁木齐市 -> 白哈巴,E027
乌鲁木齐市,鄯善县(库木塔格沙漠),3.7,270.0,乌鲁木齐市 -> 吐鲁番市 -> 鄯善县(库木塔格沙漠),E001 -> E031
乌鲁木齐市,霍城县(惠远古城),8.0,735.0,乌鲁木齐市 -> 伊宁市(伊犁) -> 霍城县(惠远古城),E005 -> E033
乌鲁木齐市,特克斯县(八卦城),9.0,805.0,乌鲁木齐市 -> 伊宁市(伊犁) -> 特克斯县(八卦城),E005 -> E035
乌鲁木齐市,昭苏县(夏塔古道),10.5,870.0,乌鲁木齐市 -> 伊宁市(伊犁) -> 昭苏县(夏塔古道),E005 -> E037
乌鲁木齐市,巴音布鲁克,12.5,1100.0,乌鲁木齐市 -> 伊宁市(伊犁) -> 那拉提镇 -> 巴音布鲁克,E005 -> E017 -> E039
乌鲁木齐市,库车市,16.5,1360.0,乌鲁木齐市 -> 伊宁市(伊犁) -> 那拉提镇 -> 巴音布鲁克 -> 库车市,E005 -> E017 -> E039 -> E041
乌鲁木齐市,塔什库尔干县(帕米尔高原),22.5,1755.0,乌鲁木齐市 -> 喀什市 -> 塔什库尔干县(帕米尔高原),E007 -> E045
乌鲁木齐市,莎车县,20.5,1655.0,乌鲁木齐市 -> 喀什市 -> 莎车县,E007 -> E047
乌鲁木齐市,和田市,22.0,1761.0,乌鲁木齐市 -> 库尔勒市 -> 若羌县(楼兰) -> 和田市,E011 -> E015 -> E053
乌鲁木齐市,民丰县(尼雅遗址),23.5,1871.0,乌鲁木齐市 -> 库尔勒市 -> 若羌县(楼兰) -> 和田市 -> 民丰县(尼雅遗址),E011 -> E015 -> E053 -> E051
