route_id,group_id,day,task_order,task_type,spot_id,spot_name,task_hours,travel_hours,fieldwork_hours,safety_buffer_hours,lodging_hub,resource_used,risk_level,buffer_flag,notes
Q3V2_Group1,1,1,1,跨区/本地转场,P007,楼兰古城,7.18,7.18,0.0,0.0,若羌县(楼兰),,red,False,乌鲁木齐起点 -> 楼兰古城；charter_car
Q3V2_Group1,1,1,2,遗址测绘/考古记录,P007,楼兰古城,0.82,0.0,0.82,0.0,若羌县(楼兰),fieldwork_equipment,red,False,考察时间按普通观光时间4倍计算
Q3V2_Group1,1,2,3,遗址测绘/考古记录,P007,楼兰古城,8.0,0.0,8.0,0.0,若羌县(楼兰),fieldwork_equipment,red,False,考察时间按普通观光时间4倍计算
Q3V2_Group1,1,3,4,遗址测绘/考古记录,P007,楼兰古城,8.0,0.0,8.0,0.0,若羌县(楼兰),fieldwork_equipment,red,False,考察时间按普通观光时间4倍计算
Q3V2_Group1,1,4,5,遗址测绘/考古记录,P007,楼兰古城,8.0,0.0,8.0,0.0,若羌县(楼兰),fieldwork_equipment,red,False,考察时间按普通观光时间4倍计算
Q3V2_Group1,1,5,6,遗址测绘/考古记录,P007,楼兰古城,7.18,0.0,7.18,0.0,若羌县(楼兰),fieldwork_equipment,red,False,考察时间按普通观光时间4倍计算
Q3V2_Group1,1,5,7,安全缓冲/通行检查,P007,楼兰古城,0.82,0.0,0.0,0.82,若羌县(楼兰),safety_staff,red,False,特殊准入或远程点安全缓冲
Q3V2_Group1,1,6,8,安全缓冲/通行检查,P007,楼兰古城,3.18,0.0,0.0,3.18,若羌县(楼兰),safety_staff,red,False,特殊准入或远程点安全缓冲
Q3V2_Group1,1,6,9,跨区/本地转场,P038,尼雅遗址,4.82,4.82,0.0,0.0,民丰县(尼雅遗址),,red,False,楼兰古城 -> 尼雅遗址；mixed_transfer
Q3V2_Group1,1,7,10,跨区/本地转场,P038,尼雅遗址,4.94,4.94,0.0,0.0,民丰县(尼雅遗址),,red,False,楼兰古城 -> 尼雅遗址；mixed_transfer
Q3V2_Group1,1,7,11,遗址测绘/考古记录,P038,尼雅遗址,3.06,0.0,3.06,0.0,民丰县(尼雅遗址),fieldwork_equipment,red,False,考察时间按普通观光时间4倍计算
Q3V2_Group1,1,8,12,遗址测绘/考古记录,P038,尼雅遗址,8.0,0.0,8.0,0.0,民丰县(尼雅遗址),fieldwork_equipment,red,False,考察时间按普通观光时间4倍计算
Q3V2_Group1,1,9,13,遗址测绘/考古记录,P038,尼雅遗址,8.0,0.0,8.0,0.0,民丰县(尼雅遗址),fieldwork_equipment,red,False,考察时间按普通观光时间4倍计算
Q3V2_Group1,1,10,14,遗址测绘/考古记录,P038,尼雅遗址,8.0,0.0,8.0,0.0,民丰县(尼雅遗址),fieldwork_equipment,red,False,考察时间按普通观光时间4倍计算
Q3V2_Group1,1,11,15,遗址测绘/考古记录,P038,尼雅遗址,4.94,0.0,4.94,0.0,民丰县(尼雅遗址),fieldwork_equipment,red,False,考察时间按普通观光时间4倍计算
Q3V2_Group1,1,11,16,安全缓冲/通行检查,P038,尼雅遗址,3.06,0.0,0.0,3.06,民丰县(尼雅遗址),safety_staff,red,False,特殊准入或远程点安全缓冲
Q3V2_Group1,1,12,17,安全缓冲/通行检查,P038,尼雅遗址,0.94,0.0,0.0,0.94,民丰县(尼雅遗址),safety_staff,red,False,特殊准入或远程点安全缓冲
Q3V2_Group1,1,12,18,返回乌鲁木齐,,,7.06,7.06,0.0,0.0,乌鲁木齐市,,green,False,尼雅遗址 -> 乌鲁木齐
Q3V2_Group1,1,13,19,返回乌鲁木齐,,,3.19,3.19,0.0,0.0,乌鲁木齐市,,green,False,尼雅遗址 -> 乌鲁木齐
Q3V2_Group1,1,14,20,项目缓冲/机动复核,,,8.0,0.0,0.0,0.0,按当前组收尾城市或乌鲁木齐统筹,standby_team,green,True,Q3-V2稳健主推预留5天项目缓冲
