scenario_id,question,decision_focus,risk_signal,recommended_policy
compound_extreme,Q1,游客画像与30天可行性,亲子舒适型30天改造成功率最低：0.0175,应启用删点、改口岸或错峰重排
heatwave,Q1,游客画像与30天可行性,亲子舒适型30天改造成功率最低：0.604,应启用删点、改口岸或错峰重排
normal_summer,Q1,游客画像与30天可行性,亲子舒适型30天改造成功率最低：0.7192,保留路线但预置1-2天机动缓冲
peak_summer,Q1,游客画像与30天可行性,亲子舒适型30天改造成功率最低：0.2452,应启用删点、改口岸或错峰重排
rain_flood_delay,Q1,游客画像与30天可行性,亲子舒适型30天改造成功率最低：0.3635,应启用删点、改口岸或错峰重排
reservation_tight,Q1,游客画像与30天可行性,亲子舒适型30天改造成功率最低：0.1253,应启用删点、改口岸或错峰重排
normal_summer,Q2,两年暑假交通费用最小,开放式多口岸更便宜概率 0.771,开放式多口岸主推
heatwave,Q2,两年暑假交通费用最小,开放式多口岸更便宜概率 0.601,双方案报价后择优
rain_flood_delay,Q2,两年暑假交通费用最小,开放式多口岸更便宜概率 0.6528,双方案报价后择优
reservation_tight,Q2,两年暑假交通费用最小,开放式多口岸更便宜概率 0.6035,双方案报价后择优
peak_summer,Q2,两年暑假交通费用最小,开放式多口岸更便宜概率 0.3543,乌鲁木齐起讫保守主推
compound_extreme,Q2,两年暑假交通费用最小,开放式多口岸更便宜概率 0.3285,乌鲁木齐起讫保守主推
compound_extreme,Q3,文化考察项目可靠完成,最佳候选成功率 0.3837，p95 23.0 天,机动小组+4天缓冲；仍不足，需延长缓冲/改期/缩小考察范围
heatwave,Q3,文化考察项目可靠完成,推荐策略成功率 0.9645，p95 18.0 天,5天项目缓冲
normal_summer,Q3,文化考察项目可靠完成,推荐策略成功率 0.9795，p95 17.0 天,5天项目缓冲
peak_summer,Q3,文化考察项目可靠完成,推荐策略成功率 0.913，p95 18.0 天,前置审批+4天缓冲
rain_flood_delay,Q3,文化考察项目可靠完成,最佳候选成功率 0.7195，p95 20.0 天,机动小组+4天缓冲；仍不足，需延长缓冲/改期/缩小考察范围
reservation_tight,Q3,文化考察项目可靠完成,推荐策略成功率 0.9363，p95 19.0 天,5天项目缓冲
compound_extreme,Q4,五一容量与预约管理,最佳候选平均等待/拒绝 48110 人，压力概率 1.0,分时预约+动态分流；仅为最优缓解，仍需加开线路/前置限流
heatwave,Q4,五一容量与预约管理,最佳候选平均等待/拒绝 7643 人，压力概率 0.9177,分时预约+动态分流；仅为最优缓解，仍需加开线路/前置限流
normal_summer,Q4,五一容量与预约管理,最佳候选平均等待/拒绝 4184 人，压力概率 0.9275,分时预约+动态分流；仅为最优缓解，仍需加开线路/前置限流
peak_summer,Q4,五一容量与预约管理,最佳候选平均等待/拒绝 18865 人，压力概率 1.0,分时预约+动态分流；仅为最优缓解，仍需加开线路/前置限流
rain_flood_delay,Q4,五一容量与预约管理,最佳候选平均等待/拒绝 9334 人，压力概率 0.9635,分时预约+动态分流；仅为最优缓解，仍需加开线路/前置限流
reservation_tight,Q4,五一容量与预约管理,最佳候选平均等待/拒绝 10681 人，压力概率 0.9995,分时预约+动态分流；仅为最优缓解，仍需加开线路/前置限流
