resource_type,resource_id,day,group_id,spot_id,spot_name,usage_reason
fieldwork_equipment,EQUIP_G1,1,1,P007,楼兰古城,遗址测绘/考古记录
licensed_guide,GUIDE_SPECIAL_01,1,1,P007,楼兰古城,特殊准入点持证向导
offroad_vehicle,OFFROAD_SPECIAL_01,1,1,P007,楼兰古城,特殊准入点越野车辆
safety_staff,SAFETY_G1,1,1,P007,楼兰古城,远程/审批点安全保障
fieldwork_equipment,EQUIP_G2,1,2,P013,吐峪沟麻扎村,宗教民族文化访谈
fieldwork_equipment,EQUIP_G3,1,3,P036,北庭故城遗址,遗址测绘/考古记录
fieldwork_equipment,EQUIP_G1,2,1,P007,楼兰古城,遗址测绘/考古记录
licensed_guide,GUIDE_SPECIAL_01,2,1,P007,楼兰古城,特殊准入点持证向导
offroad_vehicle,OFFROAD_SPECIAL_01,2,1,P007,楼兰古城,特殊准入点越野车辆
safety_staff,SAFETY_G1,2,1,P007,楼兰古城,远程/审批点安全保障
fieldwork_equipment,EQUIP_G2,2,2,P013,吐峪沟麻扎村,宗教民族文化访谈
fieldwork_equipment,EQUIP_G2,2,2,P012,苏公塔,宗教民族文化访谈
fieldwork_equipment,EQUIP_G3,2,3,P011,高昌故城,遗址测绘/考古记录
fieldwork_equipment,EQUIP_G1,3,1,P007,楼兰古城,遗址测绘/考古记录
licensed_guide,GUIDE_SPECIAL_01,3,1,P007,楼兰古城,特殊准入点持证向导
offroad_vehicle,OFFROAD_SPECIAL_01,3,1,P007,楼兰古城,特殊准入点越野车辆
safety_staff,SAFETY_G1,3,1,P007,楼兰古城,远程/审批点安全保障
fieldwork_equipment,EQUIP_G2,3,2,P012,苏公塔,宗教民族文化访谈
fieldwork_equipment,EQUIP_G2,3,2,P006,交河故城,遗址测绘/考古记录
fieldwork_equipment,EQUIP_G3,3,3,P011,高昌故城,遗址测绘/考古记录
fieldwork_equipment,EQUIP_G1,4,1,P007,楼兰古城,遗址测绘/考古记录
licensed_guide,GUIDE_SPECIAL_01,4,1,P007,楼兰古城,特殊准入点持证向导
