tier,tier_meaning,spot_id,spot_name,ordinary_tourist_allowed,substitution_note
1,西域古城/遗址替代,P006,交河故城,True,与楼兰同属丝路遗址/古城叙事
1,西域古城/遗址替代,P011,高昌故城,True,与楼兰同属丝路遗址/古城叙事
1,西域古城/遗址替代,P036,北庭故城遗址,True,与楼兰同属丝路遗址/古城叙事
1,西域古城/遗址替代,P031,克孜尔石窟,True,与楼兰同属丝路遗址/古城叙事
2,丝路宗教与城市文化,P012,苏公塔,True,补足丝路宗教、绿洲城市和民俗文化
2,丝路宗教与城市文化,P024,喀什古城,True,补足丝路宗教、绿洲城市和民俗文化
2,丝路宗教与城市文化,P025,艾提尕尔清真寺,True,补足丝路宗教、绿洲城市和民俗文化
2,丝路宗教与城市文化,P026,香妃园,True,补足丝路宗教、绿洲城市和民俗文化
3,区域文化补偿,P030,库车王府,True,以南疆/巴州文化节点补偿楼兰不可达
3,区域文化补偿,P034,罗布人村寨,True,以南疆/巴州文化节点补偿楼兰不可达
3,区域文化补偿,P037,和田博物馆,True,以南疆/巴州文化节点补偿楼兰不可达
